model,dependency,universal_head,consistency,num_languages,languages,avg_relative_score,universality_score,normalized_layer_depth
gemma-2-9b,conj,13_2,0.875,8,multilingual_analysis,0.9908216759230281,0.0006571073805080495,0.3170731707317073
deberta-v3-base,cc,8_6,0.75,8,multilingual_analysis,0.9988866343757197,0.0006520228081760515,0.7272727272727273
bert-base-uncased,verb_auxiliars,0_8,0.625,8,multilingual_analysis,0.9697573309173321,0.0006482029589466567,0.0
mdeberta-v3-base,aux,4_3,0.5,6,multilingual_analysis,0.9988723587369988,0.0006347014624432404,0.36363636363636365
gemma-2-9b,conjunctions,16_3,0.5714285714285714,7,multilingual_analysis,0.9166444007669531,0.0005981400407607193,0.3902439024390244
mdeberta-v3-base,nsubj,8_10,1.0,8,multilingual_analysis,0.9533235810030275,0.0005908736401354413,0.7272727272727273
gpt2,advcl,11_8,0.625,8,multilingual_analysis,0.9397198904437317,0.0005689220829214099,1.0
gemma-2-9b,cc,10_5,0.6,5,multilingual_analysis,1.0,0.000555355250152667,0.24390243902439024
opt-125m,conj,0_9,0.5,8,multilingual_analysis,0.9397376886480774,0.0005417876576674931,0.0
bert-base-uncased,cc,7_10,0.5,8,multilingual_analysis,0.9995791265023978,0.0005273431769875805,0.6363636363636364
gemma-2-9b,obl,20_1,0.5,6,multilingual_analysis,0.9703792877592714,0.0005259423233351682,0.4878048780487805
bert-base-uncased,conjunctions,0_8,1.0,8,multilingual_analysis,0.9289111370696073,0.0005148353264394924,0.0
Mistral-7B-v0.3,ccomp,0_19,0.625,8,multilingual_analysis,0.9627740496524234,0.000511996353915669,0.0
gemma-2-9b,nummod,10_4,0.8,5,multilingual_analysis,0.9929749010070389,0.0005093513550435631,0.24390243902439024
Mistral-7B-v0.3,cop,14_13,0.5714285714285714,7,multilingual_analysis,0.8552965831679353,0.000488592329552814,0.45161290322580644
bert-base-uncased,nummod,2_0,0.875,8,multilingual_analysis,0.9993055500217016,0.0004807552465747899,0.18181818181818182
bert-base-uncased,nummod,2_9,0.875,8,multilingual_analysis,0.9993055500217016,0.0004807552465747899,0.18181818181818182
Mistral-7B-v0.3,cc,14_13,0.875,8,multilingual_analysis,0.8560930218644547,0.00047966681404293393,0.45161290322580644
opt-125m,advcl,0_5,0.875,8,multilingual_analysis,0.9912698386699548,0.0004568522198909618,0.0
gpt2,acl,1_10,0.5714285714285714,7,multilingual_analysis,0.9880952312301586,0.0004565641357604113,0.09090909090909091
